id	question	correctAnswer	answerA	answerB	answerC	answerD
101469	Which statement is the best description of the Milky Way galaxy?	D	a collection of gases held together by inertia	a group of planets revolving around a single star	a collection of stars and gases with the Sun as its center	a group of stars, dust, and planets held together by gravity
101470	Lipids are made from which precursors?	B	sugars	glycerol	amino acids	nucleotides
101471	What is an environmental threat posed by oil and gas acquisition and transport that is not posed by the acquisition and transport of the energy resources uranium, and wood?	C	habitat change	vehicle pollution	pipeline leaks	soil compaction and loss
101472	Motion towards, away, to the right or left, and up or down from the origin are all ways of describing an object's __________.	D	position	speed	velocity	direction
101473	A scientist discovers a new product that repels fleas. She performs an investigation to test the product on dogs that have fleas. She repeats the investigation several times but each time has different results. What should she do next?	C	She should prevent other scientists from experimenting with the new product.	She should change the data in her records to get the results she had anticipated.	She should examine her records and analyze the variables in each investigation.	She should stop research on the new product since consistent results are not occurring.
101474	Descendent organisms can look very different from their ancestor organisms because	B	organisms change drastically during mass extinctions.	of small differences that accumulate over generations.	ancestor organisms have much more genetic information.	descendents are more advanced than ancestors.
101475	Which of the following is MOST likely to cause a decrease in biodiversity?	D	an immigration of species from another ecosystem	a decrease in the total population of an ecosystem	an increase in the total population of an ecosystem	a species extinction in the ecosystem due to climate change
101476	The burning of fossil fuels has added pollutants that contain sulfur atoms to the air. These pollutants have contributed to which of the following?	B	drought	acid rain	tornadoes	temperature inversions
101477	Deforestation in the rainforest can lead to localized extinctions of populations of some organisms. Once an area is deforested, which is most likely to decrease and result in organisms' extinctions?	D	the amount of annual rainfall	competition between consumers	the energy available to producers	diversity of the resources in the habitat
101478	Which of the following statements applies to all states of matter?	D	Matter takes the shape of its container.	Matter is made up of particles that are stationary.	Matter consists of tightly packed particles.	Matter is made up of particles called atoms.
101479	Sulfur scrubbers are devices installed in coal-fired power plants.  Sulfur scrubbers reduce the emission of sulfur dioxide. What environmental problem are sulfur scrubbers most likely trying to address?	C	ozone	erosion	acid rain	nutrient runoff
101480	A student touched a computer that had been operating for an hour. The computer felt warm because	C	friction within the computer turned mechanical energy into heat.	the computer's fan converted potential energy to kinetic energy.	electricity running through the computer was partly transformed into heat.	the computer used heat as a source of energy.
